text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
l),getlex.php?coord=5100208251&word=20,d_ c = d_ c --> dy c,,,,,"no, not",no! (as interj.),not (preceding and negating a predicate),"compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'",,lˀ,d_ c = d_ c --> dy c,"no, not | no! (as interj.) | not (preceding and negating a predicate) | compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'"
bdyl,getlex.php?coord=5100208251&word=19,bdyl c,,,,,"on account of, because","on account of, because","in order that, so that",,,bdyl,bdyl c,"on account of, because | on account of, because | in order that, so that"
šlḥ,getlex.php?coord=5100208251&word=21,l_ p02,,,,,to send,"to send (something or someone, but see note)","to send word; order, summon","to let loose, release, dismiss",,šlḥ,l_ p02,"to send | to send (something or someone, but see note) | to send word; order, summon | to let loose, release, dismiss"
l),getlex.php?coord=5100208251&word=15,l) a01,,,,,"no, not",no! (as interj.),not (preceding and negating a predicate),"compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'",,lˀ,l) a01,"no, not | no! (as interj.) | not (preceding and negating a predicate) | compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'"
mḥr,getlex.php?coord=5100208251&word=13,mxr a01,,,,,tomorrow,tomorrow,,,,mḥr,mxr a01,tomorrow | tomorrow
šqr,getlex.php?coord=5100208251&word=18,l_ p02,,,,,to act falsely,to violate treaty obligations,to lie,w.,,šqr,l_ p02,to act falsely | to violate treaty obligations | to lie | w.
pr(h,getlex.php?coord=5100208251&word=17,pr(h noun sg. abs. or construct,,,,,Pharaoh,Pharaoh,,,,prˁh,pr(h noun sg. abs. or construct,Pharaoh | Pharaoh
יוֹסֵף,getlex.php?coord=5100208251&word=16,ywsP PN Personal name,,,,,,,,,,,ywsP PN Personal name,
w_,getlex.php?coord=5100208251&word=12,w_ c,,,,,"and, also",from,from,partitive,,w_,w_ c,"and, also | from | from | partitive"
lḥwd,getlex.php?coord=5100208251&word=14,lxwd a01,,,,,only; alone,"only, just","alone, separately",w. negative: not at all,,lḥwd,lxwd a01,"only; alone | only, just | alone, separately | w. negative: not at all"
l),getlex.php?coord=5100208271&word=9,l) a01,,,,,"no, not",no! (as interj.),not (preceding and negating a predicate),"compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'",,lˀ,l) a01,"no, not | no! (as interj.) | not (preceding and negating a predicate) | compounded with adjectives, nouns, abstracts, and adverbs  ='un-', 'non', 'in-'"
mn,getlex.php?coord=5100208251&word=10,m_ p03 = m_ p --> mn p,,,,,from,from,partitive,indicating the agent of a passive,,mn,m_ p03 = m_ p --> mn p,from | from | partitive | indicating the agent of a passive
w_,getlex.php?coord=5100208251&word=8,w_ c,,,,,"and, also",to pass over,"to pass over, cross",to pass by,,w_,w_ c,"and, also | to pass over | to pass over, cross | to pass by"
ywy,getlex.php?coord=5100208251&word=7,ywy d01,,,,,abbreviation for the Tetragram,abbreviation for the Tetragram,,,,ywy,ywy d01,abbreviation for the Tetragram | abbreviation for the Tetragram
mn,getlex.php?coord=5100208251&word=11,m_ p03 = m_ p --> mn p,,,,,from,from,partitive,indicating the agent of a passive,,mn,m_ p03 = m_ p --> mn p,from | from | partitive | indicating the agent of a passive
(rwb,getlex.php?coord=5100208251&word=9,(rwb noun sg. emphatic,,,,,mixture; pestilence,mixture,pest infestation,,,ˁrwb,(rwb noun sg. emphatic,mixture; pestilence | mixture | pest infestation
)nh,getlex.php?coord=5100208251&word=2,)n) P01 = )n) R --> )nh R,,,,,I,I,as enclitic subject marker with participles/adjectives,(philos.) Ego,,ˀnh,)n) P01 = )n) R --> )nh R,I | I | as enclitic subject marker with participles/adjectives | (philos.) Ego
qdm,getlex.php?coord=5100208251&word=6,qdm p01,,,,,before,before,as a substantive : front part,,,qdm,qdm p01,before | before | as a substantive : front part
w_,getlex.php?coord=5100208251&word=5,w_ c,,,,,"and, also",to bend down; D to pray,to incline (intr.),tran.:,,w_,w_ c,"and, also | to bend down; D to pray | to incline (intr.) | tran.:"
m(m,getlex.php?coord=5100208251&word=4,m(m p02,,,,,from one's presence,from the presence of,,,,mˁm,m(m p02,from one's presence | from the presence of
w_,getlex.php?coord=5100208261&word=4,w_ c,,,,,"and, also",to bend down; D to pray,to incline (intr.),tran.:,,w_,w_ c,"and, also | to bend down; D to pray | to incline (intr.) | tran.:"
qdm,getlex.php?coord=5100208261&word=5,qdm p01,,,,,before,before,as a substantive : front part,,,qdm,qdm p01,before | before | as a substantive : front part
npq,getlex.php?coord=5100208251&word=3,npq verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed","_ : similar to, appropriate for",,npq,npq verb G,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | _ : similar to, appropriate for"
rḥq,getlex.php?coord=5100208241&word=13,rxq verb D,,,,,to put at a distance,"to banish, remove someone",to abominate,"to remove, move something away",,rḥq,rxq verb D,"to put at a distance | to banish, remove someone | to abominate | to remove, move something away"
ṣly,getlex.php?coord=5100208241&word=15,cly verb D,,,,,to pray,to bend,to set,to extend,,ṣly,cly verb D,to pray | to bend | to set | to extend
)zl,getlex.php?coord=5100208241&word=14,l_ p02,,,,,to go,"to go, move along",to go away,as co-verb : to go ahead and do something,,ˀzl,l_ p02,"to go | to go, move along | to go away | as co-verb : to go ahead and do something"
