text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""bprs","Masekhet: 5330016, Page: 45, Side: d, Line: 50, Word: 6",No data,,,,,,,,,בפרס,None,No data,
"hxg""","Masekhet: 5330016, Page: 45, Side: d, Line: 50, Word: 7",No data,,,,,,,,,החג,None,No data,
hN,"Masekhet: 5330016, Page: 45, Side: d, Line: 52, Word: 0",X,,,,,"where, wherever",,,,הן,hn hn a01 C,X,"where, wherever"
nqr),"Masekhet: 5330016, Page: 45, Side: d, Line: 52, Word: 1",verb G,,,,,to call,to read,to cry out,"to proclaim, to declare",נקרא,qry,verb peal,"to call | to read | to cry out | to proclaim, to declare"
wl),"Masekhet: 5330016, Page: 45, Side: d, Line: 52, Word: 2",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
nbht,"Masekhet: 5330016, Page: 45, Side: d, Line: 52, Word: 3",verb G,,,,,to be ashamed,w.,‏ : to be moved emotionally by,,נבהת,bht,verb peal,to be ashamed | w. | ‏ : to be moved emotionally by
tn),"Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנא,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
r',"Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsh,"Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 2",PN Personal name,,,,,,,,,יוסה,ywsh,proper name Personal name,
"""bN""","Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 3",No data,,,,,,,,,בן,None,No data,
xnynh,"Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 4",PN Personal name,,,,,,,,,חנינה,xnynh,proper name Personal name,
hd),"Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 5",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
mtnyt),"Masekhet: 5330016, Page: 45, Side: d, Line: 58, Word: 6",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתא,mtny,noun sg. emphatic,tannaitic tradition
r',"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsh,"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 1",PN Personal name,,,,,,,,,יוסה,ywsh,proper name Personal name,
wr',"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 2",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
)x),"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 3",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,
hwwN,"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ytybyN,"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 5",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתיבין,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited
)m',"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 7",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsh,"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 8",PN Personal name,,,,,,,,,יוסה,ywsh,proper name Personal name,
lr',"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 9",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
)x),"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 10",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,
l),"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 11",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
mstbr),"Masekhet: 5330016, Page: 46, Side: a, Line: 05, Word: 12",verb Gt,,,,,"to be reasonable, seem to be the case",to be considered,to have hope for,,מסתברא,sbr,verb ethpeel,"to be reasonable, seem to be the case | to be considered | to have hope for"
"""l$(br""","Masekhet: 5330016, Page: 46, Side: a, Line: 06, Word: 0",No data,,,,,,,,,לשעבר,None,No data,
)l),"Masekhet: 5330016, Page: 46, Side: a, Line: 06, Word: 1",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
"""lb)""","Masekhet: 5330016, Page: 46, Side: a, Line: 06, Word: 2",No data,,,,,,,,,לבא,None,No data,
)wP,"Masekhet: 5330016, Page: 46, Side: a, Line: 07, Word: 0",c,,,,,"also, even",,,,אוף,)wp )wp c,conjunction,"also, even"
)n),"Masekhet: 5330016, Page: 46, Side: a, Line: 07, Word: 1",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I
sbr,"Masekhet: 5330016, Page: 46, Side: a, Line: 07, Word: 2",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
kN,"Masekhet: 5330016, Page: 46, Side: a, Line: 07, Word: 3",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
)yN,"Masekhet: 5330016, Page: 46, Side: a, Line: 51, Word: 0",c,,,,,if,,,,אין,)yn )yn c,conjunction,if
mN,"Masekhet: 5330016, Page: 46, Side: a, Line: 51, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330016, Page: 46, Side: a, Line: 51, Word: 2",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
lyt,"Masekhet: 5330016, Page: 46, Side: a, Line: 51, Word: 3",verb G,,,,,,,,,לית,lyt,verb peal,
