text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""bhrt","Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 3",No data,,,,,,,,,בהרת,None,No data,
$khh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 4",No data,,,,,,,,,שכהה,None,No data,
mN,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 5",No data,,,,,,,,,מן,None,No data,
hkhh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 6",No data,,,,,,,,,הכהה,None,No data,
$lh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 7",No data,,,,,,,,,שלה,None,No data,
"Tm)""","Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 8",No data,,,,,,,,,טמא,None,No data,
w)py',"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 0",c,c,,,,"even if , even","and, also",,,ואפי',w_,conjunction | conjunction,"even if , even | and, also"
kr',"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 1",p02,N,,,,like,chief; teacher,,,כר',rby#2 rby#2 noun sg. abs. or construct,preposition with pronominal suffix | noun,like | chief; teacher
(qybh,"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 2",PN Personal name,,,,,,,,,עקיבה,(qybh,proper name Personal name,
)ty),"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתיא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
hy),"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
wmh,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 0",P01 C,c,,,,what?,"and, also",,,ומה,w_,preposition independent (h)aphel | conjunction,"what? | and, also"
xmyt,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
mymr,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""bTwm)t","Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 3",No data,,,,,,,,,בטומאת,None,No data,
hqwd$,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 4",No data,,,,,,,,,הקודש,None,No data,
hktwb,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 5",No data,,,,,,,,,הכתוב,None,No data,
"mdbr""","Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 6",No data,,,,,,,,,מדבר,None,No data,
mh,"Masekhet: 5330036, Page: 33, Side: a, Line: 07, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
xmyt,"Masekhet: 5330036, Page: 33, Side: a, Line: 07, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
mymr,"Masekhet: 5330036, Page: 33, Side: a, Line: 07, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""bTm)","Masekhet: 5330036, Page: 33, Side: a, Line: 07, Word: 3",No data,,,,,,,,,בטמא,None,No data,
$)kl,"Masekhet: 5330036, Page: 33, Side: a, Line: 07, Word: 4",No data,,,,,,,,,שאכל,None,No data,
"Thwr""","Masekhet: 5330036, Page: 33, Side: a, Line: 07, Word: 5",No data,,,,,,,,,טהור,None,No data,
mh,"Masekhet: 5330036, Page: 33, Side: a, Line: 22, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
xmyt,"Masekhet: 5330036, Page: 33, Side: a, Line: 22, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
mymr,"Masekhet: 5330036, Page: 33, Side: a, Line: 22, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""hpnymy""","Masekhet: 5330036, Page: 33, Side: a, Line: 22, Word: 3",No data,,,,,,,,,הפנימי,None,No data,
"""twlh","Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 0",No data,,,,,,,,,תולה,None,No data,
whxycwN,"Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 1",No data,,,,,,,,,והחיצון,None,No data,
mkpr,"Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 2",No data,,,,,,,,,מכפר,None,No data,
)w,"Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 3",No data,,,,,,,,,או,None,No data,
hxycwN,"Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 4",No data,,,,,,,,,החיצון,None,No data,
twlh,"Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 5",No data,,,,,,,,,תולה,None,No data,
whpnymy,"Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 6",No data,,,,,,,,,והפנימי,None,No data,
"mkpr""","Masekhet: 5330036, Page: 33, Side: a, Line: 23, Word: 7",No data,,,,,,,,,מכפר,None,No data,
m)y,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 0",R,,,,,what is it?,,,,מאי,mhy) mhy) P01 C,R,what is it?
kdwN,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 1",X,,,,,now; enough,,,,כדון,kdwn kdwn a01 C,X,now; enough
)m',"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
y(qb,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 4",PN Personal name,,,,,,,,,יעקב,y(qb,proper name Personal name,
br,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 5",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
)x),"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 6",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,
mylh,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 7",N,,,,,"word, speech; thing",,,,מילה,mylh mylh noun sg. abs. or construct,noun,"word, speech; thing"
xmyt,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 8",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
ry$ lqy$,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 9",PN Personal name,,,,,,,,,ריש לקיש,ry$@lqy$,proper name Personal name,
)wtyb,"Masekhet: 5330036, Page: 33, Side: a, Line: 24, Word: 10",verb C,,,,,"to restore, return (trans.)",(w. or without an object) to answer,to vomit,,אותיב,twb,verb (h)aphel,"to restore, return (trans.) | (w. or without an object) to answer | to vomit"
qwmy,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 0",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before
r',"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 2",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
w)tyb,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 3",verb C,c,,,,"to restore, return (trans.)",(w. or without an object) to answer,to vomit,,ואתיב,w_,verb (h)aphel | conjunction,"to restore, return (trans.) | (w. or without an object) to answer | to vomit"
lyh,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 4",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
"""mxlwqy","Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 5",No data,,,,,,,,,מחלוקי,None,No data,
"kprwt""","Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 6",No data,,,,,,,,,כפרות,None,No data,
hy),"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 7",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
mylt),"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 8",N,,,,,"word, speech; thing",,,,מילתא,mylh mylh noun sg. emphatic,noun,"word, speech; thing"
wlynh,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 9",verb G,c,,,,,,,,ולינה,w_,verb peal | conjunction,
yd(,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 10",verb G,,,,,to know,to cohabit with,idioms:,"_:  to be experienced in/with, acquainted with",ידע,yd(,verb peal,"to know | to cohabit with | idioms: | _:  to be experienced in/with, acquainted with"
mh,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 11",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
mr,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 12",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330036, Page: 33, Side: a, Line: 25, Word: 13",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
)m',"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
r',"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
zyr),"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 3",PN Personal name,,,,,,,,,זירא,zyr),proper name Personal name,
dylm',"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 4",a01 C,,,,,"lest, perhaps",,,,דילמ',dlmh,a01 (h)aphel,"lest, perhaps"
d),"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 5",R,,,,,this (f.),,,,דא,dh dh P01 C,R,this (f.)
hy),"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 6",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
mh,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 7",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
xmyt,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 8",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
mymr,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 9",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""bTm)","Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 10",No data,,,,,,,,,בטמא,None,No data,
$)kl,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 11",No data,,,,,,,,,שאכל,None,No data,
Thwr,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 12",No data,,,,,,,,,טהור,None,No data,
)w,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 13",No data,,,,,,,,,או,None,No data,
nymr,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 14",No data,,,,,,,,,נימר,None,No data,
bThwr,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 15",No data,,,,,,,,,בטהור,None,No data,
$)kl,"Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 16",No data,,,,,,,,,שאכל,None,No data,
"Tm)""","Masekhet: 5330036, Page: 33, Side: a, Line: 26, Word: 17",No data,,,,,,,,,טמא,None,No data,
mh,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
$yyrth,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 1",noun sg. emphatic,,,,,remnant,,,,שיירתה,$yrh#3,noun sg. emphatic,remnant
""")yN","Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 2",No data,,,,,,,,,אין,None,No data,
bh,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 3",No data,,,,,,,,,בה,None,No data,
ydy(h,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 4",No data,,,,,,,,,ידיעה,None,No data,
btxylh,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 5",No data,,,,,,,,,בתחילה,None,No data,
)bl,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 6",No data,,,,,,,,,אבל,None,No data,
y$,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 7",No data,,,,,,,,,יש,None,No data,
bh,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 8",No data,,,,,,,,,בה,None,No data,
ydy(h,"Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 9",No data,,,,,,,,,ידיעה,None,No data,
"bswP""","Masekhet: 5330036, Page: 33, Side: a, Line: 35, Word: 10",No data,,,,,,,,,בסוף,None,No data,
lyt,"Masekhet: 5330036, Page: 33, Side: b, Line: 01, Word: 0",verb G,,,,,,,,,לית,lyt,verb peal,
ykyl,"Masekhet: 5330036, Page: 33, Side: b, Line: 01, Word: 1",verb G,,,,,to be able (capability),to overpower,(in prohibitive clauses) : to be empowered,,יכיל,ykl,verb peal,to be able (capability) | to overpower | (in prohibitive clauses) : to be empowered
