text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
l(zr,"Masekhet: 5330008, Page: 52, Side: c, Line: 42, Word: 5",PN Personal name,,,,,,,,,לעזר,l(zr,proper name Personal name,
tmN,"Masekhet: 5330008, Page: 52, Side: c, Line: 55, Word: 0",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
b$M,"Masekhet: 5330008, Page: 52, Side: c, Line: 55, Word: 1",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
grmyh,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 0",noun sg. emphatic,,,,,bone; self,,,,גרמיה,grm,noun sg. emphatic,bone; self
whk),"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 1",a01 C,c,,,,here,"and, also",,,והכא,w_,a01 (h)aphel | conjunction,"here | and, also"
b$M,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
r',"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
yhw$(,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 4",PN Personal name,,,,,,,,,יהושע,yhw$(,proper name Personal name,
"""bN""","Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 5",No data,,,,,,,,,בן,None,No data,
lwy,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 6",p03,I01,,,,"woe, alas!",,,,לוי,wy,preposition proclitic | I01,"woe, alas!"
)pylw,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 7",c,,,,,"even if , even",,,,אפילו,)pylw,conjunction,"even if , even"
tymr,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,תימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
k)N,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 9",X,,,,,here,,,,כאן,kn#2 kn#2 a01 C,X,here
wk)N,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 10",X,c,,,,here,"and, also",,,וכאן,w_,X | conjunction,"here | and, also"
b$M,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 11",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
grmyh,"Masekhet: 5330008, Page: 52, Side: c, Line: 56, Word: 12",noun sg. emphatic,,,,,bone; self,,,,גרמיה,grm,noun sg. emphatic,bone; self
wTbbw,"Masekhet: 5330008, Page: 52, Side: d, Line: 13, Word: 0",A01,c,,,,good,"and, also",,,וטבבו,w_,adjective singular absolute or construct | conjunction,"good | and, also"
kN,"Masekhet: 5330008, Page: 52, Side: d, Line: 13, Word: 1",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
bqdmyyt),"Masekhet: 5330008, Page: 52, Side: d, Line: 33, Word: 0",X,,,,,formerly,,,,בקדמייתא,bqdmyyth bqdmyyth a01 C,X,formerly
hwynN,"Masekhet: 5330008, Page: 52, Side: d, Line: 33, Word: 1",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוינן,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
mryN,"Masekhet: 5330008, Page: 52, Side: d, Line: 33, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""hlwqx","Masekhet: 5330008, Page: 52, Side: d, Line: 33, Word: 3",No data,,,,,,,,,הלוקח,None,No data,
"bhmh""","Masekhet: 5330008, Page: 52, Side: d, Line: 33, Word: 4",No data,,,,,,,,,בהמה,None,No data,
wl),"Masekhet: 5330008, Page: 52, Side: d, Line: 34, Word: 0",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
hwynN,"Masekhet: 5330008, Page: 52, Side: d, Line: 34, Word: 1",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוינן,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)mryN,"Masekhet: 5330008, Page: 52, Side: d, Line: 34, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
klwM,"Masekhet: 5330008, Page: 52, Side: d, Line: 34, Word: 3",P01,,,,,something,,,,כלום,klwm,preposition independent,something
w)nN,"Masekhet: 5330008, Page: 52, Side: d, Line: 40, Word: 0",P02 C,c,,,,we,"and, also",,,ואנן,w_,preposition with pronominal suffix (h)aphel | conjunction,"we | and, also"
l),"Masekhet: 5330008, Page: 52, Side: d, Line: 40, Word: 1",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
hwynN,"Masekhet: 5330008, Page: 52, Side: d, Line: 40, Word: 2",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוינן,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)mryN,"Masekhet: 5330008, Page: 52, Side: d, Line: 40, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
kN,"Masekhet: 5330008, Page: 52, Side: d, Line: 40, Word: 4",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
mh,"Masekhet: 5330008, Page: 52, Side: d, Line: 41, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
npqh,"Masekhet: 5330008, Page: 52, Side: d, Line: 41, Word: 1",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפקה,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
mbynyhwN,"Masekhet: 5330008, Page: 52, Side: d, Line: 41, Word: 2",p02,,,,,from between,,,,מביניהון,mn@byny,preposition with pronominal suffix,from between
h),"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 0",I01 C,,,,,here! look!,,,,הא,h),I01 (h)aphel,here! look!
kl,"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 1",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
)ylyN,"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 2",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
mylyy),"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 3",N,,,,,"word, speech; thing",,,,מילייא,mylh mylh noun pl. emphatic,noun,"word, speech; thing"
)nN,"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 4",P02 C,,,,,we,,,,אנן,)nn,preposition with pronominal suffix (h)aphel,we
mryN,"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 5",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
wmtny',"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 6",noun sg. emphatic,c,,,,tannaitic tradition,"and, also",,,ומתני',w_,noun sg. emphatic | conjunction,"tannaitic tradition | and, also"
msyy(),"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 7",V,,,,,,,,,מסייעא,syy( syy( verb D,V,
lr',"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 8",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
z(yr),"Masekhet: 5330008, Page: 52, Side: d, Line: 44, Word: 9",PN Personal name,,,,,,,,,זעירא,z(yr),proper name Personal name,
qM,"Masekhet: 5330008, Page: 52, Side: d, Line: 54, Word: 0",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קם,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
r',"Masekhet: 5330008, Page: 52, Side: d, Line: 54, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
yrmyh,"Masekhet: 5330008, Page: 52, Side: d, Line: 54, Word: 2",PN Personal name,,,,,,,,,ירמיה,yrmyh,proper name Personal name,
(M,"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 0",p01 C,,,,,with,,,,עם,(m,preposition independent (h)aphel,with
r',"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
z(yr),"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 2",PN Personal name,,,,,,,,,זעירא,z(yr),proper name Personal name,
)m',"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 4",p01,,,,,,,,,ליה,l_,preposition independent,
(d kdwN,"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 5",X,,,,,now; enough,,,,עד כדון,(d@kdwn (d@kdwn a01,X,now; enough
r',"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 6",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
$mw)l,"Masekhet: 5330008, Page: 52, Side: d, Line: 55, Word: 7",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,
