text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)zlwN,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 13",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזלון,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
w)twN,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 14",verb G,c,,,,to come,to occur; w.,: to befall,to be fitting,ואתון,w_,verb peal | conjunction,to come | to occur; w. | : to befall | to be fitting
bcpr),"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 0",p02,noun sg. emphatic,,,,"in, with",morning,,,בצפרא,cpr,preposition with pronominal suffix | noun sg. emphatic,"in, with | morning"
hd),"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 1",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
hy),"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 2",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
dkt',"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 3",c,verb G,,,,to write,to draw,,,דכת',ktb,conjunction | verb peal,to write | to draw
"""ky","Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 4",No data,,,,,,,,,כי,None,No data,
qrbw,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 5",No data,,,,,,,,,קרבו,None,No data,
btnwr,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 6",No data,,,,,,,,,בתנור,None,No data,
lbM,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 7",No data,,,,,,,,,לבם,None,No data,
b)rbM,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 8",No data,,,,,,,,,בארבם,None,No data,
kl,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 9",No data,,,,,,,,,כל,None,No data,
hlylh,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 10",No data,,,,,,,,,הלילה,None,No data,
y$N,"Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 11",No data,,,,,,,,,ישן,None,No data,
")wpyhM""","Masekhet: 5330037, Page: 39, Side: b, Line: 04, Word: 12",No data,,,,,,,,,אופיהם,None,No data,
"""kl","Masekhet: 5330037, Page: 39, Side: b, Line: 05, Word: 0",No data,,,,,,,,,כל,None,No data,
