text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
kwlhwN,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 0",noun sg. emphatic,,,,,"all, every",,,,כולהון,kl,noun sg. emphatic,"all, every"
"""zwgwt","Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 1",No data,,,,,,,,,זוגות,None,No data,
"zwgwt""","Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 2",No data,,,,,,,,,זוגות,None,No data,
mh,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 3",P01,,,,,what?,,,,מה,mh,preposition independent,what?
(l,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 4",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
kl,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 5",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
pyrq),"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 6",noun sg. emphatic,,,,,"segment, separation",,,,פירקא,prq,noun sg. emphatic,"segment, separation"
)t)mrt,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 7",verb Gt,,,,,to be said,"to be ordered, commanded",,,אתאמרת,)mr,verb ethpeel,"to be said | to be ordered, commanded"
)w,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 8",c,,,,,or,,,,או,)w,conjunction,or
(l,"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 9",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
hd),"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 10",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
hylkt),"Masekhet: 5330004, Page: 26, Side: d, Line: 64, Word: 11",noun sg. emphatic,,,,,accepted legal decision; custom,,,,הילכתא,hlkh,noun sg. emphatic,accepted legal decision; custom
hd),"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
drb,"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 1",p,PN Personal name,,,,,,,,דרב,rb,preposition | proper name Personal name,
plyg),"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 2",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
(l,"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 3",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
r',"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 5",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
hd),"Masekhet: 5330004, Page: 27, Side: a, Line: 02, Word: 6",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
