text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)ynwN,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 3",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they
""")ylw","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 4",No data,,,,,,,,,אילו,None,No data,
"h)wmr""","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 5",No data,,,,,,,,,האומר,None,No data,
mndrn),"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 6",verb D,,,,,to vow,"to vex (?), i.e., vow to harm(?)",,,מנדרנא,ndr,verb pael,"to vow | to vex (?), i.e., vow to harm(?)"
"""$m)","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 7",No data,,,,,,,,,שמא,None,No data,
)ynw,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 8",No data,,,,,,,,,אינו,None,No data,
nzyr,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 9",No data,,,,,,,,,נזיר,None,No data,
")ylw""","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 10",No data,,,,,,,,,אילו,None,No data,
mnz{d}<r>n),"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 11",verb D,,,,,to excommunicate,,,,מנזרנא,nzr,verb pael,to excommunicate
"""k)wmr""","Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 0",No data,,,,,,,,,כאומר,None,No data,
mpxzn),"Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 1",verb D,,,,,artificial word for oath,,,,מפחזנא,pxz#2,verb pael,artificial word for oath
)ylyN,"Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 2",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
)ynwN,"Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 3",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they
"""kynwyy","Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 4",No data,,,,,,,,,כינויי,None,No data,
"kynwyyN""","Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 5",No data,,,,,,,,,כינויין,None,No data,
kyny,"Masekhet: 5330029, Page: 51, Side: b, Line: 19, Word: 0",a01 C,,,,,"thus, so",,,,כיני,kn,a01 (h)aphel,"thus, so"
mtnyt',"Masekhet: 5330029, Page: 51, Side: b, Line: 19, Word: 1",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition
^)wrxyh,"Masekhet: 5330029, Page: 51, Side: b, Line: 26, Word: 0",noun sg. emphatic,,,,,"way, road",,,,אורחיה,)wrx,noun sg. emphatic,"way, road"
dbr n$),"Masekhet: 5330029, Page: 51, Side: b, Line: 26, Word: 1",N,p,,,,"human, person",,,,דבר נשא,d_ d_ p,noun | preposition,"human, person"
^mymr,"Masekhet: 5330029, Page: 51, Side: b, Line: 27, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""$bw(h","Masekhet: 5330029, Page: 51, Side: b, Line: 27, Word: 1",No data,,,,,,,,,שבועה,None,No data,
l),"Masekhet: 5330029, Page: 51, Side: b, Line: 27, Word: 2",No data,,,,,,,,,לא,None,No data,
)wkl,"Masekhet: 5330029, Page: 51, Side: b, Line: 27, Word: 3",No data,,,,,,,,,אוכל,None,No data,
"lK""^","Masekhet: 5330029, Page: 51, Side: b, Line: 27, Word: 4",No data,,,,,,,,,לך,None,No data,
)wrxyh,"Masekhet: 5330029, Page: 51, Side: b, Line: 27, Word: 6",noun sg. emphatic,,,,,"way, road",,,,אורחיה,)wrx,noun sg. emphatic,"way, road"
dbr n$),"Masekhet: 5330029, Page: 51, Side: b, Line: 28, Word: 0",N,p,,,,"human, person",,,,דבר נשא,d_ d_ p,noun | preposition,"human, person"
mymr,"Masekhet: 5330029, Page: 51, Side: b, Line: 28, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
qwlb),"Masekhet: 5330029, Page: 51, Side: b, Line: 28, Word: 2",noun sg. emphatic,,,,,axe,,,,קולבא,kwlb,noun sg. emphatic,axe
