text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
(<w>bd)#14#,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 2",noun sg. emphatic,,,,,"act, deed",,,,עובדא,(wbd,noun sg. emphatic,"act, deed"
hw{y})#14#,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 3",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
(<w>bdh#14#,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 4",noun sg. emphatic,,,,,"act, deed",,,,עובדה,(wbd,noun sg. emphatic,"act, deed"
mysbwr,"Masekhet: 5330013, Page: 18, Side: c, Line: 19, Word: 0",verb G,,,,,to have thoughts,idioms:,,,מיסבור,sbr,verb peal,to have thoughts | idioms:
sbr,"Masekhet: 5330013, Page: 18, Side: c, Line: 19, Word: 1",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
$mw)l,"Masekhet: 5330013, Page: 18, Side: c, Line: 19, Word: 2",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,
l),"Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
dmy,"Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 1",verb G,,,,,to be like,ptcp. :,,,דמי,dmy,verb peal,to be like | ptcp. :
"""mbwy","Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 2",No data,,,,,,,,,מבוי,None,No data,
"l)ksdr)""","Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 3",No data,,,,,,,,,לאכסדרא,None,No data,
"""typtr""","Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 0",No data,,,,,,,,,תיפתר,None,No data,
krbN,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 1",p02,noun sg. emphatic,,,,like,chief; teacher,,,כרבן,rb,preposition with pronominal suffix | noun sg. emphatic,like | chief; teacher
$m(wN,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 2",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
"""bN""","Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 3",No data,,,,,,,,,בן,None,No data,
gmly)l,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 4",PN Personal name,,,,,,,,,גמליאל,gmly)l,proper name Personal name,
wlyt,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 5",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,
)t,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 6",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.)
$m(,"Masekhet: 5330013, Page: 18, Side: c, Line: 38, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mynh,"Masekhet: 5330013, Page: 18, Side: c, Line: 38, Word: 1",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from
klwM,"Masekhet: 5330013, Page: 18, Side: c, Line: 38, Word: 2",P01,,,,,something,,,,כלום,klwm,preposition independent,something
r',"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 1",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
wry$ lqy$,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 2",PN Personal name,c,,,,"and, also",,,,וריש לקיש,w_,proper name Personal name | conjunction,"and, also"
hwwN,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 3",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
$ryyN,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 4",verb G,,,,,"to loosen, untie",to permit,intrans.,"p.p. : loose, abundant :",שריין,$ry,verb peal,"to loosen, untie | to permit | intrans. | p.p. : loose, abundant :"
b$qqh,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 5",noun sg. emphatic,p02,,,,"street, course","in, with",,,בשקקה,b_,noun sg. emphatic | preposition with pronominal suffix,"street, course | in, with"
dr',"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 6",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ycxq,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 7",PN Personal name,,,,,,,,,יצחק,ycxq,proper name Personal name,
kP,"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 0",verb G,,,,,to bend (tran.),to incline (intran.),"to compel, force, subdue",,כף,kpp,verb peal,"to bend (tran.) | to incline (intran.) | to compel, force, subdue"
ry$ lqy$,"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 1",PN Personal name,,,,,,,,,ריש לקיש,ry$@lqy$,proper name Personal name,
lr',"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
ywxnN,"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
"""wTylTl""","Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 4",No data,,,,,,,,,וטילטל,None,No data,
$m(h,"Masekhet: 5330013, Page: 18, Side: d, Line: 10, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמעה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
$mw)l,"Masekhet: 5330013, Page: 18, Side: d, Line: 10, Word: 1",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,
mynyh,"Masekhet: 5330013, Page: 18, Side: d, Line: 10, Word: 2",p02 C,,,,,from,,,,מיניה,mn,preposition with pronominal suffix (h)aphel,from
wl(th,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 0",verb G,c,,,,to work hard,to be weary,to tire out (!),,ולעתה,w_,verb peal | conjunction,to work hard | to be weary | to tire out (!)
btryh,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 1",p02 C,,,,,after,,,,בתריה,btr,preposition with pronominal suffix (h)aphel,after
)rb(yN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 2",n01 C,,,,,forty,,,,ארבעין,)rb(yn,numeral singular absolute or construct (h)aphel,forty
zymnyN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 3",noun pl. absolute,,,,,set time; instance,,,,זימנין,zmn,noun pl. absolute,set time; instance
rbnyN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 4",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher
dqysryN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 5",p,GN Geographic name,,,,,,,,דקיסרין,qysryN,preposition | geographical name Geographic name,
l),"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 6",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)mryN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
kN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 8",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
)l),"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 9",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
$mw)l,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 10",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,
$)yl,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 11",verb G,,,,,to ask,to ask for something,,,שאיל,$)l,verb peal,to ask | to ask for something
lrb,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 0",p03,noun sg. abs. or construct,,,,chief; teacher,,,,לרב,rb,preposition proclitic | noun sg. abs. or construct,chief; teacher
"""kmh","Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 1",No data,,,,,,,,,כמה,None,No data,
yh),"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 2",No data,,,,,,,,,יהא,None,No data,
)wrkN,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 3",No data,,,,,,,,,אורכן,None,No data,
ywtr,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 4",No data,,,,,,,,,יותר,None,No data,
(l,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 5",No data,,,,,,,,,על,None,No data,
"rxbN""","Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 6",No data,,,,,,,,,רחבן,None,No data,
