text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
ly$n),"Masekhet: 5330024, Page: 02, Side: b, Line: 28, Word: 22",N,,,,,tongue,,,,לישנא,ly$n ly$n noun sg. emphatic,noun,tongue
d$m(,"Masekhet: 5330024, Page: 02, Side: b, Line: 29, Word: 0",verb G,c,,,,to hear (w. d.o. or,) something,to listen,,דשמע,d_ d_ c,verb peal | conjunction,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330024, Page: 02, Side: b, Line: 29, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from
rbyh,"Masekhet: 5330024, Page: 02, Side: b, Line: 29, Word: 2",noun sg. emphatic,,,,,chief; teacher,,,,רביה,rb,noun sg. emphatic,chief; teacher
hwwy,"Masekhet: 5330024, Page: 02, Side: c, Line: 09, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הווי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
cwrkh,"Masekhet: 5330024, Page: 02, Side: c, Line: 09, Word: 1",N,,,,,need,,,,צורכה,cwrk cwrk noun sg. emphatic,noun,need
lhy{M}^N^,"Masekhet: 5330024, Page: 02, Side: c, Line: 09, Word: 2",P02 C,p03,,,,this,,,,להין,l_,preposition with pronominal suffix (h)aphel | preposition proclitic,this
^d^)m',"Masekhet: 5330024, Page: 02, Side: c, Line: 09, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דאמ',d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
yrmyh,"Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 1",PN Personal name,,,,,,,,,ירמיה,yrmyh,proper name Personal name,
"""ybmtw","Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 2",No data,,,,,,,,,יבמתו,None,No data,
ybmtw,"Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 3",No data,,,,,,,,,יבמתו,None,No data,
htwrh,"Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 4",No data,,,,,,,,,התורה,None,No data,
rybth,"Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 5",No data,,,,,,,,,ריבתה,None,No data,
"bxlych""","Masekhet: 5330024, Page: 02, Side: c, Line: 10, Word: 6",No data,,,,,,,,,בחליצה,None,No data,
wmh,"Masekhet: 5330024, Page: 02, Side: c, Line: 18, Word: 0",P01 C,c,,,,what?,"and, also",,,ומה,w_,preposition independent (h)aphel | conjunction,"what? | and, also"
)yt,"Masekhet: 5330024, Page: 02, Side: c, Line: 18, Word: 1",verb G,,,,,,,,,אית,)yt,verb peal,
lK,"Masekhet: 5330024, Page: 02, Side: c, Line: 18, Word: 2",p02 C,,,,,,,,,לך,l_,preposition with pronominal suffix (h)aphel,
lwy,"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 0",PN Personal name,,,,,,,,,לוי,lwy,proper name Personal name,
br,"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 1",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
swsyy,"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 2",PN Personal name,,,,,,,,,סוסיי,swsyy,proper name Personal name,
b(),"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 3",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעא,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
qwmy,"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 4",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before
r',"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 5",PN Personal name,,,,,,,,,ר',r',proper name Personal name,
nytny,"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 6",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ניתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""$$","Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 7",No data,,,,,,,,,שש,None,No data,
($rh,"Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 8",No data,,,,,,,,,עשרה,None,No data,
"n$yM""","Masekhet: 5330024, Page: 02, Side: c, Line: 20, Word: 9",No data,,,,,,,,,נשים,None,No data,
