text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mh,"Masekhet: 5330011, Page: 63, Side: d, Line: 53, Word: 2",P01,,,,,what?,,,,מה,mh,preposition independent,what?
plygyN,"Masekhet: 5330011, Page: 63, Side: d, Line: 53, Word: 3",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגין,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
$m(nN,"Masekhet: 5330011, Page: 63, Side: d, Line: 57, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמענן,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
$m(nN,"Masekhet: 5330011, Page: 63, Side: d, Line: 58, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמענן,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
wtnyy,"Masekhet: 5330011, Page: 63, Side: d, Line: 60, Word: 0",verb G,c,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותניי,w_,verb peal | conjunction,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tmN,"Masekhet: 5330011, Page: 63, Side: d, Line: 60, Word: 1",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
qyymh,"Masekhet: 5330011, Page: 64, Side: a, Line: 07, Word: 0",verb D,,,,,to establish,to fulfill a commandment or promise,"to swear, promise",to preserve,קיימה,qwm,verb pael,"to establish | to fulfill a commandment or promise | to swear, promise | to preserve"
bnymN,"Masekhet: 5330011, Page: 64, Side: a, Line: 07, Word: 1",PN Personal name,,,,,,,,,בנימן,bnymN,proper name Personal name,
br,"Masekhet: 5330011, Page: 64, Side: a, Line: 07, Word: 2",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
($twr,"Masekhet: 5330011, Page: 64, Side: a, Line: 07, Word: 3",PN Personal name,,,,,,,,,עשתור,($twr,proper name Personal name,
