text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
dtymr,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 1",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דתימר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
b)ylyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 2",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
dlyt,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 0",c,verb G,,,,,,,,דלית,lyt,conjunction | verb peal,
)wrxthwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 1",noun pl. emphatic,,,,,"way, road",,,,אורחתהון,)wrx,noun pl. emphatic,"way, road"
mtxmyy),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 2",verb Gt,,,,,"to be seen, to appear","to see each other, meet",,,מתחמייא,xmy,verb ethpeel,"to be seen, to appear | to see each other, meet"
bymm),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 3",noun sg. emphatic,p02,,,,daytime,"in, with",,,ביממא,b_,noun sg. emphatic | preposition with pronominal suffix,"daytime | in, with"
brM,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 4",c,,,,,"but, however",,,,ברם,brm,conjunction,"but, however"
b)ylyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 5",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
d)wrxhwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 6",noun sg. emphatic,p,,,,"way, road",,,,דאורחהון,d_ d_ p,noun sg. emphatic | preposition,"way, road"
mtxmy),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 7",verb Gt,,,,,"to be seen, to appear","to see each other, meet",,,מתחמיא,xmy,verb ethpeel,"to be seen, to appear | to see each other, meet"
bymm),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 8",noun sg. emphatic,p02,,,,daytime,"in, with",,,ביממא,b_,noun sg. emphatic | preposition with pronominal suffix,"daytime | in, with"
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 21, Word: 9",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
m$(ryN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 0",verb D,,,,,to estimate,to calculate,,,משערין,$(r,verb pael,to estimate | to calculate
bhwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 1",p02 C,,,,,"in, with",,,,בהון,b_,preposition with pronominal suffix (h)aphel,"in, with"
)m',"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 4",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
byr',"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 5",noun sg. abs. or construct,,,,,important person,,,,ביר',byrby,noun sg. abs. or construct,important person
bwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 6",PN Personal name,,,,,,,,,בון,bwN,proper name Personal name,
wblxwd,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 7",a01 C,c,,,,alone,"and, also",,,ובלחוד,w_,a01 (h)aphel | conjunction,"alone | and, also"
dytxmwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 8",c,verb Gt,,,,"to be seen, to appear","to see each other, meet",,,דיתחמון,xmy,conjunction | verb ethpeel,"to be seen, to appear | to see each other, meet"
tlt),"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 9",n01 C,,,,,three,,,,תלתא,tlt,numeral singular absolute or construct (h)aphel,three
kwkbyN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 10",noun pl. absolute,,,,,star,,,,כוכבין,kwkb,noun pl. absolute,star
br mN,"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 11",p01 C,,,,,except for; outside of,,,,בר מן,br@mn,preposition independent (h)aphel,except for; outside of
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 22, Word: 12",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
kwkbt),"Masekhet: 5330001, Page: 02, Side: b, Line: 23, Word: 0",noun sg. emphatic,,,,,Venus,,,,כוכבתא,kwkbh,noun sg. emphatic,Venus
wlyt,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 0",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 1",p01,,,,,,,,,ליה,l_,preposition independent,
spq,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 2",noun sg. abs. or construct,,,,,doubt,,,,ספק,spq,noun sg. abs. or construct,doubt
)yt,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 3",verb G,,,,,,,,,אית,)yt,verb peal,
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 4",p01,,,,,,,,,ליה,l_,preposition independent,
spq,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 5",noun sg. abs. or construct,,,,,doubt,,,,ספק,spq,noun sg. abs. or construct,doubt
byN,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 6",p,,,,,"between, among",,,,בין,bn bn p01 C,preposition,"between, among"
kwkb,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 7",noun sg. abs. or construct,,,,,star,,,,כוכב,kwkb,noun sg. abs. or construct,star
lkwkb,"Masekhet: 5330001, Page: 02, Side: b, Line: 24, Word: 8",noun sg. abs. or construct,p03,,,,star,,,,לכוכב,l_,noun sg. abs. or construct | preposition proclitic,star
wtny,"Masekhet: 5330001, Page: 02, Side: b, Line: 28, Word: 0",verb G,c,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותני,w_,verb peal | conjunction,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
$mw)l,"Masekhet: 5330001, Page: 02, Side: b, Line: 28, Word: 1",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,
kN,"Masekhet: 5330001, Page: 02, Side: b, Line: 28, Word: 2",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 31, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
dtym',"Masekhet: 5330001, Page: 02, Side: b, Line: 31, Word: 1",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דתימ',d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
bhhw),"Masekhet: 5330001, Page: 02, Side: b, Line: 31, Word: 2",p02,P01 C,,,,"in, with",that one (m.),,,בההוא,hhw),preposition with pronominal suffix | preposition independent (h)aphel,"in, with | that one (m.)"
d)z{y}l,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 0",verb G,c,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",דאזל,d_ d_ c,verb peal | conjunction,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 1",p01,,,,,,,,,ליה,l_,preposition independent,
bqpwndr),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 2",p02,N,,,,"in, with",shortcut,,,בקפונדרא,qpwndrh qpwndrh noun sg. abs. or construct,preposition with pronominal suffix | noun,"in, with | shortcut"
brM,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 3",c,,,,,"but, however",,,,ברם,brm,conjunction,"but, however"
hhw),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 4",P01 C,,,,,that one (m.),,,,ההוא,hhw),preposition independent (h)aphel,that one (m.)
d)zl,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 5",verb G,c,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",דאזל,d_ d_ c,verb peal | conjunction,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
lyh,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 6",p01,,,,,,,,,ליה,l_,preposition independent,
b)ysrT),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 7",N,p02,,,,"street, road","in, with",,,באיסרטא,b_,noun | preposition with pronominal suffix,"street, road | in, with"
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 8",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
bdh,"Masekhet: 5330001, Page: 02, Side: b, Line: 32, Word: 9",verb G,,,,,"to contrive, to invent",: it does not to refer to,to chatter,,בדה,bdy,verb peal,"to contrive, to invent | : it does not to refer to | to chatter"
