text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
(byd,"Masekhet: 5330012, Page: 02, Side: c, Line: 01, Word: 2",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עביד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
"""hmhlK""","Masekhet: 5330012, Page: 02, Side: c, Line: 01, Word: 3",No data,,,,,,,,,המהלך,None,No data,
"""kmnyx""","Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 0",No data,,,,,,,,,כמניח,None,No data,
kmh,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 1",c,,,,,just as,,,,כמה,kmh,conjunction,just as
dr',"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 2",c,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,conjunction | noun,chief; teacher
ywsy,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 3",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
(byd,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 4",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עביד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
"""hmhlK","Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 5",No data,,,,,,,,,המהלך,None,No data,
kmnyx,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 6",No data,,,,,,,,,כמניח,None,No data,
"lxyywb""","Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 7",No data,,,,,,,,,לחייוב,None,No data,
kK,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 8",a01 C,,,,,so,,,,כך,kk,a01 (h)aphel,so
hw),"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 9",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
(byd,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 10",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עביד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
"""hmhlK","Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 11",No data,,,,,,,,,המהלך,None,No data,
kmnyx,"Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 12",No data,,,,,,,,,כמניח,None,No data,
"lpTwr""","Masekhet: 5330012, Page: 02, Side: c, Line: 02, Word: 13",No data,,,,,,,,,לפטור,None,No data,
rb),"Masekhet: 5330012, Page: 02, Side: c, Line: 04, Word: 0",PN Personal name,,,,,,,,,רבא,rb),proper name Personal name,
br bryh,"Masekhet: 5330012, Page: 02, Side: c, Line: 04, Word: 1",noun sg. emphatic,,,,,grandson,,,,בר בריה,br@br,noun sg. emphatic,grandson
drb,"Masekhet: 5330012, Page: 02, Side: c, Line: 04, Word: 2",p,noun sg. abs. or construct,,,,chief; teacher,,,,דרב,rb,preposition | noun sg. abs. or construct,chief; teacher
ppy,"Masekhet: 5330012, Page: 02, Side: c, Line: 04, Word: 3",PN Personal name,,,,,,,,,פפי,ppy,proper name Personal name,
mh,"Masekhet: 5330012, Page: 02, Side: c, Line: 12, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
bynh,"Masekhet: 5330012, Page: 02, Side: c, Line: 12, Word: 1",p,,,,,"between, among",,,,בינה,bn bn p02 C,preposition,"between, among"
lbyN,"Masekhet: 5330012, Page: 02, Side: c, Line: 12, Word: 2",p,p03,,,,"between, among",,,,לבין,l_,preposition | preposition proclitic,"between, among"
qdmyyt),"Masekhet: 5330012, Page: 02, Side: c, Line: 12, Word: 3",A02 C,,,,,first,,,,קדמייתא,qdmy,adjective singular determined (h)aphel,first
hyK,"Masekhet: 5330012, Page: 02, Side: c, Line: 14, Word: 0",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how
(byd),"Masekhet: 5330012, Page: 02, Side: c, Line: 14, Word: 1",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבידא,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
bgyN,"Masekhet: 5330012, Page: 02, Side: c, Line: 16, Word: 0",p01 C,,,,,because of,,,,בגין,bgyn,preposition independent (h)aphel,because of
mdmyyth,"Masekhet: 5330012, Page: 02, Side: c, Line: 16, Word: 1",verb D,,,,,to compare x to y (w. double accus.),to make something like,"to draw a conclusion, imagine, envision",,מדמייתה,dmy,verb pael,"to compare x to y (w. double accus.) | to make something like | to draw a conclusion, imagine, envision"
