text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)mryN,"Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""ksP","Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 2",No data,,,,,,,,,כסף,None,No data,
"prwTh""","Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 3",No data,,,,,,,,,פרוטה,None,No data,
wk),"Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 4",a01 C,c,,,,thus;  here,"and, also",,,וכא,w_,a01 (h)aphel | conjunction,"thus;  here | and, also"
)ynwN,"Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 5",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they
)mryN,"Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
ksP,"Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 7",noun sg. abs. or construct,,,,,"silver, money",,,,כסף,ksp,noun sg. abs. or construct,"silver, money"
"""$ty","Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 8",No data,,,,,,,,,שתי,None,No data,
"m(yN""","Masekhet: 5330030, Page: 58, Side: c, Line: 44, Word: 9",No data,,,,,,,,,מעין,None,No data,
w)tyy),"Masekhet: 5330030, Page: 58, Side: c, Line: 64, Word: 0",verb G,c,,,,to come,to occur; w.,: to befall,to be fitting,ואתייא,w_,verb peal | conjunction,to come | to occur; w. | : to befall | to be fitting
kbyt,"Masekhet: 5330030, Page: 58, Side: c, Line: 64, Word: 1",noun sg. abs. or construct,p02,,,,house; structure; place,like,,,כבית,k_,noun sg. abs. or construct | preposition with pronominal suffix,house; structure; place | like
$m)y,"Masekhet: 5330030, Page: 58, Side: c, Line: 64, Word: 2",PN Personal name,,,,,,,,,שמאי,$m)y,proper name Personal name,
