text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
$m(wN;,"Masekhet: 71008, Page: 002, Side: 2, Line: 05, Word: 16",No data,,,,,,,,,שמעון;,None,No data,
"""$bt""","Masekhet: 71008, Page: 002, Side: 2, Line: 07, Word: 0",No data,,,,,,,,,שבת,None,No data,
dxmyrh,"Masekhet: 71008, Page: 002, Side: 2, Line: 07, Word: 1",c,A01,,,,"who,which (relative)",stringent,,,דחמירה,xmyr,conjunction | adjective singular absolute or construct,"who,which (relative) | stringent"
wl),"Masekhet: 71008, Page: 002, Side: 2, Line: 07, Word: 2",c,a,,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
)ty,"Masekhet: 71008, Page: 002, Side: 2, Line: 07, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
lzlzwlh;,"Masekhet: 71008, Page: 002, Side: 2, Line: 07, Word: 4",p03,V,,,,,,,,לזלזולה;,zlzl,preposition proclitic | V,
stM,"Masekhet: 71008, Page: 002, Side: 2, Line: 07, Word: 5",verb G,,,,,"to close up, stop up",to state a law anonymously,,,סתם,stm,verb peal,"to close up, stop up | to state a law anonymously"
lN,"Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 0",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
kr',"Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 1",p02,,,,,like,,,,כר',k_,preposition with pronominal suffix,like
$m(wN;,"Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 2",No data,,,,,,,,,שמעון;,None,No data,
dmyql,"Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 3",c,verb C,,,,": to make something lighter, remove a burden",to treat lightly,to hasten,to curse,דמיקל,qll,conjunction | verb (h)aphel,": to make something lighter, remove a burden | to treat lightly | to hasten | to curse"
"""bywM","Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 4",No data,,,,,,,,,ביום,None,No data,
"Twb""","Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 5",No data,,,,,,,,,טוב,None,No data,
dqyl,"Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 6",c,A01,,,,"who,which (relative)",lenient,,,דקיל,qyl,conjunction | adjective singular absolute or construct,"who,which (relative) | lenient"
w)ty,"Masekhet: 71008, Page: 002, Side: 2, Line: 08, Word: 7",c,verb G,,,,to come,to occur; w.,: to befall,to be fitting,ואתי,)ty,conjunction | verb peal,to come | to occur; w. | : to befall | to be fitting
lzlzwly,"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 0",p02,V,,,,,,,,לזלזולי,zlzl,preposition with pronominal suffix | V,
byh,"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 1",p02,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix,"in, with"
stM,"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 2",verb G,,,,,"to close up, stop up",to state a law anonymously,,,סתם,stm,verb peal,"to close up, stop up | to state a law anonymously"
lN,"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 3",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
kr',"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 4",p02,,,,,like,,,,כר',k_,preposition with pronominal suffix,like
yhwdh,"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 5",No data,,,,,,,,,יהודה,None,No data,
dmxmyr;,"Masekhet: 71008, Page: 002, Side: 2, Line: 09, Word: 6",c,verb C,,,,to make a stringent ruling,,,,דמחמיר;,xmr,conjunction | verb (h)aphel,to make a stringent ruling
bm)y,"Masekhet: 71008, Page: 002, Side: 2, Line: 10, Word: 0",p02,P01,,,,"in, with",what,,,במאי,m)y,preposition with pronominal suffix | preposition independent,"in, with | what"
)wqymt),"Masekhet: 71008, Page: 002, Side: 2, Line: 10, Word: 1",verb C,,,,,"to make to stand, to position",fig. : to impose,to awaken s.o.,to make a contractual arrangement,אוקימתא,qwm,verb (h)aphel,"to make to stand, to position | fig. : to impose | to awaken s.o. | to make a contractual arrangement"
lmtnytyN;,"Masekhet: 71008, Page: 002, Side: 2, Line: 10, Word: 2",p03,noun sg. emphatic,,,,"to, for",tannaitic tradition,,,למתניתין;,mtnyt),preposition proclitic | noun sg. emphatic,"to, for | tannaitic tradition"
"""btrngwlt","Masekhet: 71008, Page: 002, Side: 2, Line: 10, Word: 3",No data,,,,,,,,,בתרנגולת,None,No data,
