text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
lrbnN;,"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 4",p03,N,,,,"to, for","lord, master",,,לרבנן;,rbnn,preposition proclitic | noun,"to, for | lord, master"
cryk);,"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 5",A01,,,,,poor; needy,,,,צריכא;,cryk,adjective singular absolute or construct,poor; needy
wmy,"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 6",c,c,,,,"and, also",interrogative particle,,,ומי,my,conjunction | conjunction,"and, also | interrogative particle"
mcyt,"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 7",A01,,,,,"able, capable",,,,מצית,mcy,adjective singular absolute or construct,"able, capable"
)mrt,"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרת,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""(d"";","Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 9",No data,,,,,,,,,עד;,None,No data,
wh),"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 10",c,I,,,,"and, also",here! look!,,,והא,h),conjunction | interjection,"and, also | here! look!"
mdqt)ny,"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 11",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,מדקתאני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
ry$),"Masekhet: 71023, Page: 023, Side: 2, Line: 08, Word: 12",noun sg. emphatic,,,,,head; top; chief,,,,רישא,ry$),noun sg. emphatic,head; top; chief
"""dyynyM""","Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 0",No data,,,,,,,,,דיינים,None,No data,
wsyp),"Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 1",c,noun sg. emphatic,,,,"and, also",end,,,וסיפא,syp),conjunction | noun sg. emphatic,"and, also | end"
"""(dyM"";","Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 2",No data,,,,,,,,,עדים;,None,No data,
$m(,"Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 3",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mynh,"Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 4",p02,,,,,from,,,,מינה,mn,preposition with pronominal suffix,from
dwq),"Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 5",a,,,,,exactness,,,,דוקא,dwwq),adverb,exactness
qt)ny;,"Masekhet: 71023, Page: 023, Side: 2, Line: 09, Word: 6",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,קתאני;,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
kl kmynyh,"Masekhet: 71023, Page: 023, Side: 2, Line: 10, Word: 0",noun sg. abs. or construct,p,,,,"all, every","like, as",,,כל כמיניה,kmyn,noun sg. abs. or construct | preposition,"all, every | like, as"
"""nwg(","Masekhet: 71023, Page: 023, Side: 2, Line: 11, Word: 0",No data,,,,,,,,,נוגע,None,No data,
"b(ydwtw""","Masekhet: 71023, Page: 023, Side: 2, Line: 11, Word: 1",No data,,,,,,,,,בעידותו,None,No data,
)ylym),"Masekhet: 71023, Page: 023, Side: 2, Line: 13, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אילימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""(r(r""","Masekhet: 71023, Page: 023, Side: 2, Line: 13, Word: 1",No data,,,,,,,,,ערער,None,No data,
dgzlnwt);,"Masekhet: 71023, Page: 023, Side: 2, Line: 13, Word: 2",p,noun sg. emphatic,,,,"of, genitive particle",robbery,,,דגזלנותא;,gzlnwt),preposition | noun sg. emphatic,"of, genitive particle | robbery"
swP swP,"Masekhet: 71023, Page: 023, Side: 2, Line: 13, Word: 3",a,,,,,end,,,,סוף סוף,swp@swp,adverb,end
"""nwg(","Masekhet: 71023, Page: 023, Side: 2, Line: 14, Word: 0",No data,,,,,,,,,נוגע,None,No data,
"b(dwtw""","Masekhet: 71023, Page: 023, Side: 2, Line: 14, Word: 1",No data,,,,,,,,,בעדותו,None,No data,
hw);,"Masekhet: 71023, Page: 023, Side: 2, Line: 14, Word: 2",P01,,,,,he,,,,הוא;,hw),preposition independent,he
h)y,"Masekhet: 71023, Page: 023, Side: 2, Line: 15, Word: 0",P01,,,,,this,,,,האי,h)y,preposition independent,this
gwbr),"Masekhet: 71023, Page: 023, Side: 2, Line: 15, Word: 1",noun sg. emphatic,,,,,man,,,,גוברא,gbr),noun sg. emphatic,man
ky,"Masekhet: 71023, Page: 023, Side: 2, Line: 15, Word: 2",c,,,,,when,,,,כי,ky,conjunction,when
q),"Masekhet: 71023, Page: 023, Side: 2, Line: 15, Word: 3",a,,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
