text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""bsmykh""","Masekhet: 71033, Page: 016, Side: 1, Line: 02, Word: 9",No data,,,,,,,,,בסמיכה,None,No data,
ky,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 0",c,,,,,when,,,,כי,ky,conjunction,when
)yplyg,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 1",verb Gt,,,,,to be divided,to be allotted,to be in doubt,,איפליג,plg,verb ethpeel,to be divided | to be allotted | to be in doubt
bh,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 2",p02,,,,,"in, with",,,,בה,b_,preposition with pronominal suffix,"in, with"
bswP,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 3",N,,,,,end,,,,בסוף,bswp,noun,end
$nyh,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 4",noun pl. emphatic,,,,,year,,,,שניה,$t),noun pl. emphatic,year
dbcr,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 5",c,verb G,,,,"to become lacking, diminished",to take away away part of a substance,,,דבצר,bcr,conjunction | verb peal,"to become lacking, diminished | to take away away part of a substance"
lyb);,"Masekhet: 71033, Page: 016, Side: 1, Line: 03, Word: 6",noun sg. abs. or construct,,,,,heart; mind,,,,ליבא;,lyb),noun sg. abs. or construct,heart; mind
xwrgyh,"Masekhet: 71033, Page: 016, Side: 1, Line: 34, Word: 0",noun sg. emphatic,,,,,stepson,,,,חורגיה,xwrg),noun sg. emphatic,stepson
dqnz,"Masekhet: 71033, Page: 016, Side: 1, Line: 34, Word: 1",No data,,,,,,,,,דקנז,None,No data,
hw);,"Masekhet: 71033, Page: 016, Side: 1, Line: 34, Word: 2",P01,,,,,he,,,,הוא;,hw),preposition independent,he
w)y,"Masekhet: 71033, Page: 016, Side: 2, Line: 03, Word: 0",c,c,,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
sl',"Masekhet: 71033, Page: 016, Side: 2, Line: 03, Word: 1",verb G,,,,,to go up,to result,to travel,idioms:,סל',slq,verb peal,to go up | to result | to travel | idioms:
d(';,"Masekhet: 71033, Page: 016, Side: 2, Line: 03, Word: 2",noun sg. emphatic,,,,,knowledge,,,,דע';,d(t),noun sg. emphatic,knowledge
"""bcybwr"";","Masekhet: 71033, Page: 016, Side: 2, Line: 03, Word: 3",No data,,,,,,,,,בציבור;,None,No data,
hnK,"Masekhet: 71033, Page: 016, Side: 2, Line: 03, Word: 4",P01,,,,,those,,,,הנך,hnk,preposition independent,those
my,"Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 0",c,,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
)ytnnhw,"Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 1",V,,,,,"there is, exists",,,,איתננהו,)yt,V,"there is, exists"
"""bcybwr"";","Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 2",No data,,,,,,,,,בציבור;,None,No data,
)l),"Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 3",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
(l krxyK,"Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 4",p02,,,,,against the will of,,,,על כרחיך,(l@krx_,preposition with pronominal suffix,against the will of
"""ylmd","Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 5",No data,,,,,,,,,ילמד,None,No data,
stwM,"Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 6",No data,,,,,,,,,סתום,None,No data,
"mmpwr$"";","Masekhet: 71033, Page: 016, Side: 2, Line: 04, Word: 7",No data,,,,,,,,,ממפורש;,None,No data,
wlyxzy,"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 0",c,verb G,,,,to see,(,") to understand, to realize",to visit,וליחזי,xzy,conjunction | verb peal,"to see | ( | ) to understand, to realize | to visit"
bhy,"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 1",p02,,,,,"in, with",,,,בהי,b_,preposition with pronominal suffix,"in, with"
sydr),"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 2",noun sg. emphatic,,,,,order; rank,,,,סידרא,sydr),noun sg. emphatic,order; rank
gmyry,"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 3",verb G,,,,,trans.,intrans.,,,גמירי,gmr,verb peal,trans. | intrans.
lhw;,"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 4",p,,,,,"to, for",,,,להו;,l_,preposition,"to, for"
)y,"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 5",c,,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
"""bcybwr""","Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 6",No data,,,,,,,,,בציבור,None,No data,
)y,"Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 7",c,,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
"""byxyd"";","Masekhet: 71033, Page: 016, Side: 2, Line: 06, Word: 8",No data,,,,,,,,,ביחיד;,None,No data,
"""mh","Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 0",No data,,,,,,,,,מה,None,No data,
bhmh,"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 1",No data,,,,,,,,,בהמה,None,No data,
"Tm)h""","Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 2",No data,,,,,,,,,טמאה,None,No data,
l),"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 3",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
qrbh,"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 4",verb G,,,,,"to approach, to be near",to touch,to contend,to lead prayers,קרבה,qrb,verb peal,"to approach, to be near | to touch | to contend | to lead prayers"
wl),"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 5",c,a,,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
nxt),"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 6",verb G,,,,,"to descend, go down physically",fig.,to go inward,as a co-verb: to do something while descending or penetrating,נחתא,nxt,verb peal,"to descend, go down physically | fig. | to go inward | as a co-verb: to do something while descending or penetrating"
lh,"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 7",p02,,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
"""qdw$'","Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 8",No data,,,,,,,,,קדוש',None,No data,
hgwP;,"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 9",No data,,,,,,,,,הגוף;,None,No data,
<)P>,"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 10",No data,,,,,,,,,אף,None,No data,
"kN""","Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 11",No data,,,,,,,,,כן,None,No data,
l),"Masekhet: 71033, Page: 017, Side: 1, Line: 24, Word: 12",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
qrby,"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 0",verb G,,,,,"to approach, to be near",to touch,to contend,to lead prayers,קרבי,qrb,verb peal,"to approach, to be near | to touch | to contend | to lead prayers"
wl),"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 1",c,a,,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
nxt),"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 2",verb G,,,,,"to descend, go down physically",fig.,to go inward,as a co-verb: to do something while descending or penetrating,נחתא,nxt,verb peal,"to descend, go down physically | fig. | to go inward | as a co-verb: to do something while descending or penetrating"
lh,"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 3",p02,,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
"""qdw$'","Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 4",No data,,,,,,,,,קדוש',None,No data,
hgwP;,"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 5",No data,,,,,,,,,הגוף;,None,No data,
)M,"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 6",No data,,,,,,,,,אם,None,No data,
"kN""","Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 7",No data,,,,,,,,,כן,None,No data,
l),"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 8",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
qr',"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 9",noun sg. emphatic,,,,,crying; reading,,,,קר',qr),noun sg. emphatic,crying; reading
..;,"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 10",No data,,,,,,,,,;,None,No data,
"""hry","Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 11",No data,,,,,,,,,הרי,None,No data,
b(l,"Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 12",No data,,,,,,,,,בעל,None,No data,
"mwM""","Masekhet: 71033, Page: 017, Side: 1, Line: 25, Word: 13",No data,,,,,,,,,מום,None,No data,
