text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
lK;,"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 5",p02,,,,,"to, for",,,,לך;,l_,preposition with pronominal suffix,"to, for"
tbr),"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 6",noun sg. emphatic,,,,,"fracture, breaking",,,,תברא,tbr),noun sg. emphatic,"fracture, breaking"
(dyP;,"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 7",A01,,,,,"better, preferable",,,,עדיף;,(dyp,adjective singular absolute or construct,"better, preferable"
wm)N,"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 8",c,P01,,,,"and, also",who?,,,ומאן,m)n,conjunction | preposition independent,"and, also | who?"
dtny,"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 9",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""(ydyhN"";","Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 10",No data,,,,,,,,,עידיהן;,None,No data,
m)y,"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 11",P01,,,,,what,,,,מאי,m)y,preposition independent,what
T(m',"Masekhet: 71026, Page: 002, Side: 1, Line: 11, Word: 12",noun sg. emphatic,,,,,taste; order,,,,טעמ',T(m),noun sg. emphatic,taste; order
l),"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 0",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
tny,"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")ydyhN"";","Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 2",No data,,,,,,,,,אידיהן;,None,No data,
)m',"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lK;,"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 4",p02,,,,,"to, for",,,,לך;,l_,preposition with pronominal suffix,"to, for"
tbr),"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 5",noun sg. emphatic,,,,,"fracture, breaking",,,,תברא,tbr),noun sg. emphatic,"fracture, breaking"
m)N,"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 6",P01,,,,,who?,,,,מאן,m)n,preposition independent,who?
gryM,"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 7",verb G,,,,,"to cause to happen, to bring about",to be absolutely certain,,,גרים,grm,verb peal,"to cause to happen, to bring about | to be absolutely certain"
lh;,"Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 8",p02,,,,,"to, for",,,,לה;,l_,preposition with pronominal suffix,"to, for"
"""hylkK""","Masekhet: 71026, Page: 002, Side: 1, Line: 12, Word: 9",No data,,,,,,,,,הילכך,None,No data,
"""(dwt""","Masekhet: 71026, Page: 002, Side: 1, Line: 13, Word: 0",No data,,,,,,,,,עדות,None,No data,
(dyp);,"Masekhet: 71026, Page: 002, Side: 1, Line: 13, Word: 1",A01,,,,,"better, preferable",,,,עדיפא;,(dyp,adjective singular absolute or construct,"better, preferable"
wmtrgmy';,"Masekhet: 71026, Page: 002, Side: 2, Line: 01, Word: 0",c,verb quad,,,,to translate,"to explain, describe in detail",to speak at length,,ומתרגמי';,trgm,conjunction | verb quad,"to translate | to explain, describe in detail | to speak at length"
"""wmlkw","Masekhet: 71026, Page: 002, Side: 2, Line: 01, Word: 1",No data,,,,,,,,,ומלכו,None,No data,
mmlkw,"Masekhet: 71026, Page: 002, Side: 2, Line: 01, Word: 2",No data,,,,,,,,,ממלכו,None,No data,
"ytqwP""","Masekhet: 71026, Page: 002, Side: 2, Line: 01, Word: 3",No data,,,,,,,,,יתקוף,None,No data,
wmy,"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 0",c,c,,,,"and, also",interrogative particle,,,ומי,my,conjunction | conjunction,"and, also | interrogative particle"
)yk),"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 1",a,,,,,there is here,,,,איכא,)yk),adverb,there is here
(rbwby),"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 2",noun sg. emphatic,,,,,disorder,,,,ערבוביא,(rbwby),noun sg. emphatic,disorder
qmy,"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 3",p01,,,,,before,,,,קמי,qmy,preposition independent,before
$my';,"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 4",noun pl. emphatic,,,,,heaven; ceiling,,,,שמי';,$my),noun pl. emphatic,heaven; ceiling
l),"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 5",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
)l),"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 6",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
ky hyky,"Masekhet: 71026, Page: 002, Side: 2, Line: 03, Word: 7",c,,,,,in order that,,,,כי היכי,ky@hyky,conjunction,in order that
dl),"Masekhet: 71026, Page: 002, Side: 2, Line: 04, Word: 0",c,a,,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
ly(rbbw,"Masekhet: 71026, Page: 002, Side: 2, Line: 04, Word: 1",verb quad T,,,,,to mix up,"to confuse someone, mislead",,,ליערבבו,(rbb,verb quad T,"to mix up | to confuse someone, mislead"
)ynhy,"Masekhet: 71026, Page: 002, Side: 2, Line: 04, Word: 2",P01,,,,,they (f.),,,,אינהי,)ynhy,preposition independent,they (f.)
bhdy hddy;,"Masekhet: 71026, Page: 002, Side: 2, Line: 04, Word: 3",p01,P,,,,"with, while",one another; each other,,,בהדי הדדי;,hddy,preposition independent | P,"with, while | one another; each other"
dly$m(w,"Masekhet: 71026, Page: 002, Side: 2, Line: 04, Word: 4",c,verb G,,,,to hear (w. d.o. or,) something,to listen,,דלישמעו,$m(,conjunction | verb peal,to hear (w. d.o. or | ) something | to listen
m)y,"Masekhet: 71026, Page: 002, Side: 2, Line: 05, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
d)mr,"Masekhet: 71026, Page: 002, Side: 2, Line: 05, Word: 1",c,verb G,,,,to say,to command,to think,idiomatic and special usages:,דאמר,)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
lhw;,"Masekhet: 71026, Page: 002, Side: 2, Line: 05, Word: 2",p,,,,,"to, for",,,,להו;,l_,preposition,"to, for"
m)y,"Masekhet: 71026, Page: 002, Side: 2, Line: 06, Word: 0",P01,,,,,what,,,,מאי,m)y,preposition independent,what
T(m';,"Masekhet: 71026, Page: 002, Side: 2, Line: 06, Word: 1",noun sg. emphatic,,,,,taste; order,,,,טעמ';,T(m),noun sg. emphatic,taste; order
m$wM,"Masekhet: 71026, Page: 002, Side: 2, Line: 06, Word: 2",c,,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
dx$yb);,"Masekhet: 71026, Page: 002, Side: 2, Line: 06, Word: 3",c,A01,,,,"who,which (relative)",important,,,דחשיבא;,x$yb,conjunction | adjective singular absolute or construct,"who,which (relative) | important"
wmn),"Masekhet: 71026, Page: 002, Side: 2, Line: 06, Word: 4",c,a,,,,"and, also",whence,,,ומנא,mn),conjunction | adverb,"and, also | whence"
lN,"Masekhet: 71026, Page: 002, Side: 2, Line: 06, Word: 5",p02,,,,,"to, for",,,,לן,l_,preposition with pronominal suffix,"to, for"
