text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""my(wT""","Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 2",No data,,,,,,,,,מיעוט,None,No data,
qm),"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 3",A,,,,,first,,,,קמא,qm),adjective,first
bhdy,"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 4",p01,,,,,"with, while",,,,בהדי,bhdy,preposition independent,"with, while"
"""my(wT""","Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 5",No data,,,,,,,,,מיעוט,None,No data,
btr),"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 6",A02,,,,,last,,,,בתרא,btr),adjective singular determined,last
wmytw,"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 7",c,verb C,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,ומיתו,)ty,conjunction | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
"""qrbN""","Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 8",No data,,,,,,,,,קרבן,None,No data,
)w,"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 9",c,,,,,or,,,,או,)w,conjunction,or
l);,"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 10",a,,,,,"no, not",,,,לא;,l),adverb,"no, not"
kywN,"Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 11",c,,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
"""d$ty""","Masekhet: 71027, Page: 003, Side: 1, Line: 40, Word: 12",No data,,,,,,,,,דשתי,None,No data,
"""ydy(wt""","Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 0",No data,,,,,,,,,ידיעות,None,No data,
l),"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 1",a,,,,,"no, not",,,,לא,l),adverb,"no, not"
mcTrP;,"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 2",verb Dt,,,,,to be cleansed,to be joined together,,,מצטרף;,crp,verb ethpaal,to be cleansed | to be joined together
)w,"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 3",c,,,,,or,,,,או,)w,conjunction,or
dlm),"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 4",c,,,,,"lest, perhaps",,,,דלמא,dylm),conjunction,"lest, perhaps"
kywN,"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 5",c,,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
dxd,"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 6",c,n01,,,,"who,which (relative)",one,,,דחד,xd,conjunction | numeral singular absolute or construct,"who,which (relative) | one"
"""b'd""","Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 7",No data,,,,,,,,,ב'ד,None,No data,
hw),"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 8",P01,,,,,he,,,,הוא,hw),preposition independent,he
w)ydy,"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 9",c,P01,,,,"and, also",this one,,,ואידי,)ydy,conjunction | preposition independent,"and, also | this one"
w)ydy,"Masekhet: 71027, Page: 003, Side: 1, Line: 41, Word: 10",c,P01,,,,"and, also",this one,,,ואידי,)ydy,conjunction | preposition independent,"and, also | this one"
