text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hw);,"Masekhet: 71016, Page: 002, Side: 1, Line: 27, Word: 6",P01,,,,,hwˀ,,,,he,,,,הוא;,hw),preposition independent,he
mpr',"Masekhet: 71016, Page: 002, Side: 1, Line: 27, Word: 7",verb D,,,,,prš,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפר',pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret"
)yswr',"Masekhet: 71016, Page: 002, Side: 1, Line: 27, Word: 8",noun sg. emphatic,,,,,"ˀyswr, ˀyswrˀ",,,,prohibition,,,,איסור',)yswr),noun sg. emphatic,prohibition
dnp$y',"Masekhet: 71016, Page: 002, Side: 1, Line: 27, Word: 9",p,noun sg. emphatic,,,,dy,"npš, npšˀ",,,"of, genitive particle",soul; life; self,,,דנפשי',np$),preposition | noun sg. emphatic,"of, genitive particle | soul; life; self"
bry$';,"Masekhet: 71016, Page: 002, Side: 1, Line: 27, Word: 10",p02,noun sg. emphatic,,,,b_,"ryš, ryšˀ",,,"in, with",head; top; chief,,,בריש';,ry$),preposition with pronominal suffix | noun sg. emphatic,"in, with | head; top; chief"
gby,"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 0",p,,,,,"gb, gby",,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""bhm'""","Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 1",No data,,,,,,,,,,,,,בהמ',None,No data,
d)swr',"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 2",c,noun sg. emphatic,,,,dy,"ˀyswr, ˀyswrˀ",,,"who,which (relative)",prohibition,,,דאסור',)yswr),conjunction | noun sg. emphatic,"who,which (relative) | prohibition"
)ydy,"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 3",P01,,,,,ˀydy,,,,this one,,,,אידי,)ydy,preposition independent,this one
bhm',"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 4",p02,,,,,b_,,,,"in, with",,,,בהמ',b_,preposition with pronominal suffix,"in, with"
hw),"Masekhet: 71016, Page: 002, Side: 1, Line: 28, Word: 5",P01,,,,,hwˀ,,,,he,,,,הוא,hw),preposition independent,he
