text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 0",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 1",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
m$wM,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 2",c,,,,,mšwm,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
dqb(y,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 3",c,verb G,,,,dy,bˁy,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דקבעי,b(y,conjunction | verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
lmtn),"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 4",p02,verb G,,,,l_,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,למתנא,tny,preposition with pronominal suffix | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
syp);,"Masekhet: 71034, Page: 002, Side: 2, Line: 14, Word: 5",noun sg. emphatic,,,,,"syp, sypˀ",,,,end,,,,סיפא;,syp),noun sg. emphatic,end
wm$kxt,"Masekhet: 71034, Page: 002, Side: 2, Line: 15, Word: 0",c,verb G,,,,w_,škḥ,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",ומשכחת,$kx,conjunction | verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
lh,"Masekhet: 71034, Page: 002, Side: 2, Line: 15, Word: 1",p02,,,,,l_,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
kgwN,"Masekhet: 71034, Page: 002, Side: 2, Line: 15, Word: 2",c,,,,,kgwn,,,,as if,,,,כגון,kgwn,conjunction,as if
d)yTmy,"Masekhet: 71034, Page: 002, Side: 2, Line: 16, Word: 0",c,verb Dt,,,,dy,ṭmy,,,"to be made unclean, defiled",,,,דאיטמי,Tmy,conjunction | verb ethpaal,"to be made unclean, defiled"
"""b$by(y"";","Masekhet: 71034, Page: 002, Side: 2, Line: 16, Word: 1",No data,,,,,,,,,,,,,בשביעי;,None,No data,
"""$by(y""","Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 0",No data,,,,,,,,,,,,,שביעי,None,No data,
hw),"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 1",P01,,,,,hwˀ,,,,he,,,,הוא,hw),preposition independent,he
dxyyl),"Masekhet: 71034, Page: 002, Side: 2, Line: 18, Word: 2",c,verb G,,,,dy,ḥwl,,,to fall upon destructively,fig. : to have effect on,,,דחיילא,xwl,conjunction | verb peal,to fall upon destructively | fig. : to have effect on
