text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
dmcTrp';,"Masekhet: 71034, Page: 008, Side: 1, Line: 35, Word: 0",c,verb Dt,,,,dy,ṣrp,,,to be cleansed,to be joined together,,,דמצטרפ';,crp,conjunction | verb ethpaal,to be cleansed | to be joined together
hwh,"Masekhet: 71034, Page: 008, Side: 1, Line: 35, Word: 1",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
)myn',"Masekhet: 71034, Page: 008, Side: 1, Line: 35, Word: 2",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אמינ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
l),"Masekhet: 71034, Page: 008, Side: 1, Line: 35, Word: 3",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
tcTrP;,"Masekhet: 71034, Page: 008, Side: 1, Line: 35, Word: 4",verb Dt,,,,,ṣrp,,,,to be cleansed,to be joined together,,,תצטרף;,crp,verb ethpaal,to be cleansed | to be joined together
p$yT';,"Masekhet: 71034, Page: 008, Side: 1, Line: 39, Word: 0",A01,,,,,pšyṭ,,,,simple,,,,פשיט';,p$yT,adjective singular absolute or construct,simple
+;,"Masekhet: 71034, Page: 008, Side: 1, Line: 39, Word: 1",No data,,,,,,,,,,,,,;,None,No data,
mhw,"Masekhet: 71034, Page: 008, Side: 1, Line: 39, Word: 2",c,,,,,mhwˀ,,,,what is it ?,,,,מהו,mhw@d_,conjunction,what is it ?
dtym';,"Masekhet: 71034, Page: 008, Side: 1, Line: 39, Word: 3",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,דתימ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
kywN,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 0",c,,,,,kywn,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
dl)w,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 1",c,a,,,,dy,"lˀw, lw",,,"who,which (relative)","not, it is not",,,דלאו,l)w,conjunction | adverb,"who,which (relative) | not, it is not"
bzmN,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 2",p02,noun sg. abs. or construct,,,,b_,"zmn, zmnˀ",,,"in, with",set time; instance,,,בזמן,zymn),preposition with pronominal suffix | noun sg. abs. or construct,"in, with | set time; instance"
xywb),"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 3",noun sg. emphatic,,,,,"ḥywb, ḥywbˀ",,,,obligation,,,,חיובא,xywb),noun sg. emphatic,obligation
q),"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 4",a,,,,,qˀ,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
xzy,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 5",verb G,,,,,ḥzy,,,,to see,(,") to understand, to realize",to visit,חזי,xzy,verb peal,"to see | ( | ) to understand, to realize | to visit"
lh,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 6",p02,,,,,l_,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
l),"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 7",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
tcTrP;,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 8",verb Dt,,,,,ṣrp,,,,to be cleansed,to be joined together,,,תצטרף;,crp,verb ethpaal,to be cleansed | to be joined together
qm'l;,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 9",verb C,,,,,šmˁ,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,קמ'ל;,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
p$yT';,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 10",A01,,,,,pšyṭ,,,,simple,,,,פשיט';,p$yT,adjective singular absolute or construct,simple
mhw,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 11",c,,,,,mhwˀ,,,,what is it ?,,,,מהו,mhw@d_,conjunction,what is it ?
dtym',"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 12",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,דתימ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
bd)tqpth,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 13",p,c,verb C,,,b_,dy,tqp,,(d.o. and w.,) : to strengthen,to hold on tightly,w.,בדאתקפתה,d_,preposition | conjunction | verb (h)aphel,(d.o. and w. | ) : to strengthen | to hold on tightly | w.
rb,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 14",No data,,,,,,,,,,,,,רב,None,No data,
$y$),"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 15",No data,,,,,,,,,,,,,שישא,None,No data,
bryh,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 16",noun sg. emphatic,,,,,"br, brˀ",,,,son,,,,בריה,br),noun sg. emphatic,son
drb,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 17",No data,,,,,,,,,,,,,דרב,None,No data,
)ydy;,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 18",No data,,,,,,,,,,,,,אידי;,None,No data,
qm'l,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 19",verb C,,,,,šmˁ,,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,קמ'ל,$m(,verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
kdmtrC,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 20",verb D,,,,,trṣ,,,,"to make straight, straighten out",fig.,to correct,,כדמתרץ,trc,verb pael,"to make straight, straighten out | fig. | to correct"
rb,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 21",No data,,,,,,,,,,,,,רב,None,No data,
ywsP;,"Masekhet: 71034, Page: 008, Side: 1, Line: 40, Word: 22",No data,,,,,,,,,,,,,יוסף;,None,No data,
hny,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 0",P01,,,,,hny,,,,"these, those",,,,הני,hny,preposition independent,"these, those"
tn)y,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 1",noun pl. emphatic,,,,,"tny, tnyˀ, tnˀ",,,,tanna,,,,תנאי,tn),noun pl. emphatic,tanna
bm)y,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 2",p02,P01,,,,b_,mˀy,,,"in, with",what,,,במאי,m)y,preposition with pronominal suffix | preposition independent,"in, with | what"
plygy;,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 3",verb G,,,,,plg,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגי;,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
dr',"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 4",No data,,,,,,,,,,,,,דר',None,No data,
ywxn',"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 5",No data,,,,,,,,,,,,,יוחנ',None,No data,
bN,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 6",No data,,,,,,,,,,,,,בן,None,No data,
nwry,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 7",No data,,,,,,,,,,,,,נורי,None,No data,
mdmy,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 8",verb D,,,,,dmy,,,,to compare x to y (w. double accus.),to make something like,"to draw a conclusion, imagine, envision",,מדמי,dmy,verb pael,"to compare x to y (w. double accus.) | to make something like | to draw a conclusion, imagine, envision"
lhwN,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 9",p02,,,,,l_,,,,"to, for",,,,להון,l_,preposition with pronominal suffix,"to, for"
"""lxT)t"";","Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 10",No data,,,,,,,,,,,,,לחטאת;,None,No data,
dm)N,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 11",c,P01,,,,dy,mn,,,"who,which (relative)",who?,,,דמאן,m)n,conjunction | preposition independent,"who,which (relative) | who?"
dmyxyyb,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 12",c,verb Dt,,,,dy,ḥwb,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,דמיחייב,xwb,conjunction | verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
"""xm$","Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 13",No data,,,,,,,,,,,,,חמש,None,No data,
"xT)wt"";","Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 14",No data,,,,,,,,,,,,,חטאות;,None,No data,
(d,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 15",c,,,,,ˁd,,,,until,,,,עד,(d,conjunction,until
dmyyty,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 16",c,verb C,,,,dy,ˀty,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,דמייתי,)ty,conjunction | verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
kwlhwN,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 17",noun sg. emphatic,,,,,"kl, klˀ",,,,"all, every",,,,כולהון,kl,noun sg. emphatic,"all, every"
wswP,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 18",c,a,,,,w_,"swp, swpˀ",,,"and, also",end,,,וסוף,swp,conjunction | adverb,"and, also | end"
mkpr,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 19",verb D,,,,,kpr,,,,to wipe away,"to purge, totally remove",w.,",",מכפר,kpr,verb pael,"to wipe away | to purge, totally remove | w. | ,"
lyh;,"Masekhet: 71034, Page: 008, Side: 1, Line: 49, Word: 20",p02,,,,,l_,,,,"to, for",,,,ליה;,l_,preposition with pronominal suffix,"to, for"
hk),"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 0",a,,,,,hkh,,,,here,,,,הכא,hk),adverb,here
nmy,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 1",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
l),"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 2",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
$n);,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 3",verb G,,,,,šny,,,,to be different,to go away,,,שנא;,$ny,verb peal,to be different | to go away
wr',"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 4",No data,,,,,,,,,,,,,ור',None,No data,
(qyb',"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 5",No data,,,,,,,,,,,,,עקיב',None,No data,
mdmy,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 6",verb D,,,,,dmy,,,,to compare x to y (w. double accus.),to make something like,"to draw a conclusion, imagine, envision",,מדמי,dmy,verb pael,"to compare x to y (w. double accus.) | to make something like | to draw a conclusion, imagine, envision"
lhwN,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 7",p02,,,,,l_,,,,"to, for",,,,להון,l_,preposition with pronominal suffix,"to, for"
"""lTbylwt"";","Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 8",No data,,,,,,,,,,,,,לטבילות;,None,No data,
?w?m)N,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 9",c,P01,,,,w_,mn,,,"and, also",who?,,,ומאן,m)n,conjunction | preposition independent,"and, also | who?"
dmyxyyb,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 10",c,verb Dt,,,,dy,ḥwb,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,דמיחייב,xwb,conjunction | verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
"""xm$","Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 11",No data,,,,,,,,,,,,,חמש,None,No data,
"Tbylwt"";","Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 12",No data,,,,,,,,,,,,,טבילות;,None,No data,
l)w,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 13",a,,,,,"lˀw, lw",,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
kywN,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 14",c,,,,,kywn,,,,"when, since",,,,כיון,kywn,conjunction,"when, since"
?d?Tbyl,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 15",c,verb G,,,,dy,ṭbl,,,"to dip, immerse (trans.)",to immerse oneself,,,דטביל,Tbl,conjunction | verb peal,"to dip, immerse (trans.) | to immerse oneself"
xd),"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 16",n01,,,,,ḥd,,,,one,,,,חדא,xd,numeral singular absolute or construct,one
zymn),"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 17",noun sg. emphatic,,,,,"zmn, zmnˀ",,,,set time; instance,,,,זימנא,zymn),noun sg. emphatic,set time; instance
)yThr;,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 18",verb Dt,,,,,ṭhr,,,,to become clean,,,,איטהר;,Thr,verb ethpaal,to become clean
hk),"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 19",a,,,,,hkh,,,,here,,,,הכא,hk),adverb,here
nmy,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 20",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
l),"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 21",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
$n);,"Masekhet: 71034, Page: 008, Side: 1, Line: 50, Word: 22",verb G,,,,,šny,,,,to be different,to go away,,,שנא;,$ny,verb peal,to be different | to go away
..;,"Masekhet: 71034, Page: 008, Side: 1, Line: 51, Word: 0",No data,,,,,,,,,,,,,;,None,No data,
)ylw,"Masekhet: 71034, Page: 008, Side: 1, Line: 51, Word: 1",c,,,,,ˀlw,,,,"if, if only",,,,אילו,)ylw,conjunction,"if, if only"
m)N,"Masekhet: 71034, Page: 008, Side: 1, Line: 51, Word: 2",P01,,,,,mn,,,,who?,,,,מאן,m)n,preposition independent,who?
dmyxyyb,"Masekhet: 71034, Page: 008, Side: 1, Line: 51, Word: 3",c,verb Dt,,,,dy,ḥwb,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,דמיחייב,xwb,conjunction | verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
"""xm$","Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 0",No data,,,,,,,,,,,,,חמש,None,No data,
)$mwt,"Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 1",No data,,,,,,,,,,,,,אשמות,None,No data,
"tlwyyN""","Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 2",No data,,,,,,,,,,,,,תלויין,None,No data,
ky,"Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 3",c,,,,,ky,,,,when,,,,כי,ky,conjunction,when
myyty,"Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 4",verb C,,,,,ˀty,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,מייתי,)ty,verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
xd,"Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 5",n01,,,,,ḥd,,,,one,,,,חד,xd,numeral singular absolute or construct,one
my,"Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 6",c,,,,,my,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
mypTr;,"Masekhet: 71034, Page: 008, Side: 2, Line: 01, Word: 7",verb Gt,,,,,pṭr,,,,to depart,to be exempted,to be divorced,,מיפטר;,pTr,verb ethpeel,to depart | to be exempted | to be divorced
ky,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 0",c,,,,,ky,,,,when,,,,כי,ky,conjunction,when
qtny,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 1",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,קתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
)myd(M,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 2",P,,,,,"mdˁm, mdm, mydy",,,,something,,,,אמידעם,myd(m,P,something
dmy$try,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 3",c,verb Gt,,,,dy,šry,,,"to be loosened, untied",to be dissolved,"to be finished, come to an end [of something requiring construction to establish it]","to be removed, abrogated",דמישתרי,$ry,conjunction | verb ethpeel,"to be loosened, untied | to be dissolved | to be finished, come to an end [of something requiring construction to establish it] | to be removed, abrogated"
lmykl,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 4",p02,verb G,,,,l_,ˀkl,,,to eat,to consume,to enjoy the usufruct of something,in idioms,למיכל,)kl,preposition with pronominal suffix | verb peal,to eat | to consume | to enjoy the usufruct of something | in idioms
"""bqd$yM;","Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 5",No data,,,,,,,,,,,,,בקדשים;,None,No data,
"gr""","Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 6",No data,,,,,,,,,,,,,גר,None,No data,
ky,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 7",c,,,,,ky,,,,when,,,,כי,ky,conjunction,when
q),"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 8",a,,,,,qˀ,,,,aspectual particle,,,,קא,q),adverb,aspectual particle
myyty,"Masekhet: 71034, Page: 008, Side: 2, Line: 27, Word: 9",verb C,,,,,ˀty,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,מייתי,)ty,verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
"""qrbN""","Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 0",No data,,,,,,,,,,,,,קרבן,None,No data,
l)k$wry,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 1",p02,verb C,,,,l_,kšr,,,"to prosper, succeed","to declare permitted, allow",,,לאכשורי,k$r,preposition with pronominal suffix | verb (h)aphel,"to prosper, succeed | to declare permitted, allow"
np$yh,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 2",noun sg. emphatic,,,,,"npš, npšˀ",,,,soul; life; self,,,,נפשיה,np$),noun sg. emphatic,soul; life; self
lmy(l,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 3",p02,verb G,,,,l_,ˁll,,,to enter,w.,:  to have sexual relations with,"+ in years, days : to be advanced in age",למיעל,(ll,preposition with pronominal suffix | verb peal,"to enter | w. | :  to have sexual relations with | + in years, days : to be advanced in age"
"""bqhl;","Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 4",No data,,,,,,,,,,,,,בקהל;,None,No data,
"wnzyr""","Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 5",No data,,,,,,,,,,,,,ונזיר,None,No data,
m)y,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 6",P01,,,,,mˀy,,,,what,,,,מאי,m)y,preposition independent,what
T(',"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 7",noun sg. emphatic,,,,,"ṭˁm, ṭˁmˀ",,,,taste; order,,,,טע',T(m),noun sg. emphatic,taste; order
l)+,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 8",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
tny;,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 9",verb G,,,,,tny,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני;,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
swP swP,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 10",a,,,,,"swp, swpˀ",,,,end,,,,סוף סוף,swp@swp,adverb,end
"""nzyr""","Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 11",No data,,,,,,,,,,,,,נזיר,None,No data,
nmy,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 12",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
ky,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 13",c,,,,,ky,,,,when,,,,כי,ky,conjunction,when
myyty,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 14",verb C,,,,,ˀty,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,מייתי,)ty,verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
"""qrbN""","Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 15",No data,,,,,,,,,,,,,קרבן,None,No data,
l)y$trwyy,"Masekhet: 71034, Page: 008, Side: 2, Line: 28, Word: 16",p02,verb Gt,,,,l_,šry,,,"to be loosened, untied",to be dissolved,"to be finished, come to an end [of something requiring construction to establish it]","to be removed, abrogated",לאישתרויי,$ry,preposition with pronominal suffix | verb ethpeel,"to be loosened, untied | to be dissolved | to be finished, come to an end [of something requiring construction to establish it] | to be removed, abrogated"
lm$ty,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 0",p02,verb G,,,,l_,šty,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,למשתי,$ty,preposition with pronominal suffix | verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco"
"""yyN""","Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 1",No data,,,,,,,,,,,,,יין,None,No data,
dxwly,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 2",p,noun pl. emphatic,,,,dy,"ḥwl, ḥwlˀ",,,"of, genitive particle",profane matters,,,דחולי,xwl),preposition | noun pl. emphatic,"of, genitive particle | profane matters"
hw);,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 3",P01,,,,,hwˀ,,,,he,,,,הוא;,hw),preposition independent,he
wr',"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 4",No data,,,,,,,,,,,,,ור',None,No data,
)ly(z',"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 5",No data,,,,,,,,,,,,,אליעז',None,No data,
bN,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 6",No data,,,,,,,,,,,,,בן,None,No data,
y(qb,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 7",No data,,,,,,,,,,,,,יעקב,None,No data,
dqtny,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 8",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דקתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""nzyr""","Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 9",No data,,,,,,,,,,,,,נזיר,None,No data,
lmy$r),"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 10",p02,verb G,,,,l_,šry,,,"to loosen, untie",to permit,intrans.,"p.p. : loose, abundant :",למישרא,$ry,preposition with pronominal suffix | verb peal,"to loosen, untie | to permit | intrans. | p.p. : loose, abundant :"
np$yh;,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 11",noun sg. emphatic,,,,,"npš, npšˀ",,,,soul; life; self,,,,נפשיה;,np$),noun sg. emphatic,soul; life; self
wnytny,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 12",c,verb G,,,,w_,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,וניתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
nmy,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 13",a,,,,,nmy,,,,also,,,,נמי,nmy,adverb,also
"""nzyr","Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 14",No data,,,,,,,,,,,,,נזיר,None,No data,
Tm);,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 15",No data,,,,,,,,,,,,,טמא;,None,No data,
nzyr,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 16",No data,,,,,,,,,,,,,נזיר,None,No data,
"Tm)""","Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 17",No data,,,,,,,,,,,,,טמא,None,No data,
ky,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 18",c,,,,,ky,,,,when,,,,כי,ky,conjunction,when
qmyyty,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 19",verb G,,,,,mwt,,,,to die,fig. : to remain hidden until disappearance,to separate ?,,קמייתי,mwt,verb peal,to die | fig. : to remain hidden until disappearance | to separate ?
"""qrbN""","Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 20",No data,,,,,,,,,,,,,קרבן,None,No data,
lmyxl,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 21",p02,verb G,,,,l_,ḥwl,,,to fall upon destructively,fig. : to have effect on,,,למיחל,xwl,preposition with pronominal suffix | verb peal,to fall upon destructively | fig. : to have effect on
(lyh,"Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 22",p02,,,,,ˁl,,,,upon; against; to,,,,עליה,(l,preposition with pronominal suffix,upon; against; to
"""nzyrwt"";","Masekhet: 71034, Page: 008, Side: 2, Line: 29, Word: 23",No data,,,,,,,,,,,,,נזירות;,None,No data,
wl),"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 0",c,a,,,,w_,lˀ,,,"and, also","no, not",,,ולא,l),conjunction | adverb,"and, also | no, not"
nyktwb,"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 1",verb G,,,,,ktb,,,,to write,to draw,,,ניכתוב,ktb,verb peal,to write | to draw
qr),"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 2",noun sg. emphatic,,,,,"qry, qryˀ",,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
)y,"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 3",c,,,,,ˀy,,,,"if, whether",,,,אי,)y,conjunction,"if, whether"
kt',"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 4",verb G,,,,,ktb,,,,to write,to draw,,,כת',ktb,verb peal,to write | to draw
qr),"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 5",noun sg. emphatic,,,,,"qry, qryˀ",,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
"""^p^t)M"";","Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 6",No data,,,,,,,,,,,,,פתאם;,None,No data,
)('g,"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 7",c,,,,,ˀp ˁl gb,,,,even though,,,,אע'ג,)p@(l@gb,conjunction,even though
dm$m(,"Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 8",c,verb C,,,,dy,šmˁ,,,to cause to hear,"to give to understand, teach a legal tradition",to cause to obey,,דמשמע,$m(,conjunction | verb (h)aphel,"to cause to hear | to give to understand, teach a legal tradition | to cause to obey"
"""$wgg""","Masekhet: 71034, Page: 009, Side: 1, Line: 42, Word: 9",No data,,,,,,,,,,,,,שוגג,None,No data,
